,eigenvalue,explained_pct,cumulative_pct
PC1,3.7951,14.597,14.597
PC2,2.7782,10.685,25.282
PC3,2.3588,9.072,34.354
PC4,2.2655,8.713,43.067
PC5,1.9186,7.379,50.446
PC6,1.3535,5.206,55.652
PC7,1.3117,5.045,60.697
PC8,1.0105,3.887,64.584
PC9,0.9289,3.573,68.157
PC10,0.8637,3.322,71.479
PC11,0.8509,3.272,74.751
PC12,0.7653,2.943,77.694
PC13,0.6938,2.668,80.362
