Modèle,Accuracy,Std,Gain vs CART (%)
CART,0.49114408808042126,-,0.0
Bootstrap (CART),0.49125008548177534,±0.0027,0.010599740135408542
Bagging,0.5613075292347671,-,7.0163441154345865
Random Forest,0.5708131026465157,-,7.966901456609449
